Sample	Length1	Size
A_1A	2196.036	L
A_1B	1956.913	M
A_1C	1667.223	XS
A_1D	2342.763	XL
A_1E	1801.854	S
A_2A	2079.716	L
A_2B	2287.791	XL
A_2C	1977.637	M
A_2D	1721.064	S
A_2E	2104.987	L
A_3A	2008.38	L
A_3B	2170.045	L
A_3C	1710.463	S
A_3D	1965.74	M
A_3E	1858.745	S
A_4A	2038.354	L
A_4B	1763.944	S
A_4C	1744.097	S
A_4D	1979.388	M
A_4E	1953.645	M
A_5A	1964.917	M
A_5B	1951.199	M
A_5C	1863.752	S
A_5D	2169.354	L
A_5E	1950.011	M
A_6A	2091.866	L
A_6B	2150.783	L
A_6C	1778.928	S
A_6D	2245.512	XL
A_6E	2121.287	L
A_7A	1929.638	M
A_7B	1915.478	M
A_7C	1799.402	S
A_7D	2003.97	L
A_7E	1694.596	XS
A_8A	2155.709	L
A_8B	2206.923	XL
A_8C	2200.504	XL
A_8D	2192.684	L
A_8E	1992.36	M
A_9A	2016.209	L
A_9B	1948.387	M
A_9C	1652.856	XS
A_9D	1959.161	M
A_9E	1935.328	M
B_1A	1582.769	XS
B_1B	1933.102	M
B_1C	1990.768	M
B_1D	1764.099	S
B_1E	1824.22	S
B_2A	1988.691	M
B_2B	1647.238	XS
B_2C	1960.57	M
B_2D	1948.914	M
B_2E	1823.928	S
B_3A	1817.146	S
B_3B	1939.439	M
B_3C	1852.632	S
B_3D	1873.873	S
B_3E	1783.838	S
